src,relation,Target,is_b,id(is_b)
188900070001,VIU,SFLL18891,IS_BUILDING,129251
188900060001,VIU,SFLL18891,IS_BUILDING,129251
188900050001,VIU,SFLL18891,IS_BUILDING,129251
188900040001,VIU,SFLL18891,IS_BUILDING,129251
188900030001,VIU,SFLL18891,IS_BUILDING,129251
188900020001,VIU,SFLL18891,IS_BUILDING,129251
188900010001,VIU,SFLL18891,IS_BUILDING,129251
188900140002,VIU,SFLL18892,IS_BUILDING,129252
188900130002,VIU,SFLL18892,IS_BUILDING,129252
188900120002,VIU,SFLL18892,IS_BUILDING,129252
188900110002,VIU,SFLL18892,IS_BUILDING,129252
188900100002,VIU,SFLL18892,IS_BUILDING,129252
188900090002,VIU,SFLL18892,IS_BUILDING,129252
188900080002,VIU,SFLL18892,IS_BUILDING,129252
188900160003,VIU,SFLL18893,IS_BUILDING,129253
188900150003,VIU,SFLL18893,IS_BUILDING,129253
188900230004,VIU,SFLL18894,IS_BUILDING,129254
188900220004,VIU,SFLL18894,IS_BUILDING,129254
188900210004,VIU,SFLL18894,IS_BUILDING,129254
188900200004,VIU,SFLL18894,IS_BUILDING,129254
188900190004,VIU,SFLL18894,IS_BUILDING,129254
188900180004,VIU,SFLL18894,IS_BUILDING,129254
188900170004,VIU,SFLL18894,IS_BUILDING,129254
188900300005,VIU,SFLL18895,IS_BUILDING,129255
188900290005,VIU,SFLL18895,IS_BUILDING,129255
188900280005,VIU,SFLL18895,IS_BUILDING,129255
188900270005,VIU,SFLL18895,IS_BUILDING,129255
188900260005,VIU,SFLL18895,IS_BUILDING,129255
188900250005,VIU,SFLL18895,IS_BUILDING,129255
188900240005,VIU,SFLL18895,IS_BUILDING,129255
188900330006,VIU,SFLL18896,IS_BUILDING,128288
188900320006,VIU,SFLL18896,IS_BUILDING,128288
188900310006,VIU,SFLL18896,IS_BUILDING,128288
188900410007,VIU,SFLL18897,IS_BUILDING,128290
188900400007,VIU,SFLL18897,IS_BUILDING,128290
188900390007,VIU,SFLL18897,IS_BUILDING,128290
188900380007,VIU,SFLL18897,IS_BUILDING,128290
188900370007,VIU,SFLL18897,IS_BUILDING,128290
188900360007,VIU,SFLL18897,IS_BUILDING,128290
188900350007,VIU,SFLL18897,IS_BUILDING,128290
188900340007,VIU,SFLL18897,IS_BUILDING,128290
188900470008,VIU,SFLL18898,IS_BUILDING,128292
188900460008,VIU,SFLL18898,IS_BUILDING,128292
188900450008,VIU,SFLL18898,IS_BUILDING,128292
188900440008,VIU,SFLL18898,IS_BUILDING,128292
188900430008,VIU,SFLL18898,IS_BUILDING,128292
188900420008,VIU,SFLL18898,IS_BUILDING,128292
188900480009,VIU,SFLL18899,IS_BUILDING,128294
188900510010,VIU,SFLL188910,IS_BUILDING,128296
188900500010,VIU,SFLL188910,IS_BUILDING,128296
188900490010,VIU,SFLL188910,IS_BUILDING,128296
188900560011,VIU,SFLL188911,IS_BUILDING,128298
188900550011,VIU,SFLL188911,IS_BUILDING,128298
188900540011,VIU,SFLL188911,IS_BUILDING,128298
188900530011,VIU,SFLL188911,IS_BUILDING,128298
188900520011,VIU,SFLL188911,IS_BUILDING,128298
188900580012,VIU,SFLL188912,IS_BUILDING,128300
188900570012,VIU,SFLL188912,IS_BUILDING,128300
188900620013,VIU,SFLL188913,IS_BUILDING,128302
188900610013,VIU,SFLL188913,IS_BUILDING,128302
188900600013,VIU,SFLL188913,IS_BUILDING,128302
188900590013,VIU,SFLL188913,IS_BUILDING,128302
188900670014,VIU,SFLL188914,IS_BUILDING,128304
188900660014,VIU,SFLL188914,IS_BUILDING,128304
188900650014,VIU,SFLL188914,IS_BUILDING,128304
188900640014,VIU,SFLL188914,IS_BUILDING,128304
188900630014,VIU,SFLL188914,IS_BUILDING,128304
188900700015,VIU,SFLL188915,IS_BUILDING,128308
188900690015,VIU,SFLL188915,IS_BUILDING,128308
188900680015,VIU,SFLL188915,IS_BUILDING,128308
188900740016,VIU,SFLL188916,IS_BUILDING,128309
188900730016,VIU,SFLL188916,IS_BUILDING,128309
188900720016,VIU,SFLL188916,IS_BUILDING,128309
188900710016,VIU,SFLL188916,IS_BUILDING,128309
188900780017,VIU,SFLL188917,IS_BUILDING,128310
188900770017,VIU,SFLL188917,IS_BUILDING,128310
188900760017,VIU,SFLL188917,IS_BUILDING,128310
188900750017,VIU,SFLL188917,IS_BUILDING,128310
188900850018,VIU,SFLL188918,IS_BUILDING,128312
188900840018,VIU,SFLL188918,IS_BUILDING,128312
188900830018,VIU,SFLL188918,IS_BUILDING,128312
188900820018,VIU,SFLL188918,IS_BUILDING,128312
188900810018,VIU,SFLL188918,IS_BUILDING,128312
188900800018,VIU,SFLL188918,IS_BUILDING,128312
188900790018,VIU,SFLL188918,IS_BUILDING,128312
188900900019,VIU,SFLL188919,IS_BUILDING,128314
188900890019,VIU,SFLL188919,IS_BUILDING,128314
188900880019,VIU,SFLL188919,IS_BUILDING,128314
188900870019,VIU,SFLL188919,IS_BUILDING,128314
188900860019,VIU,SFLL188919,IS_BUILDING,128314
188900940020,VIU,SFLL188920,IS_BUILDING,128316
188900930020,VIU,SFLL188920,IS_BUILDING,128316
188900920020,VIU,SFLL188920,IS_BUILDING,128316
