nodes._id,"Coalesce(r.target_Position,Type(r))",target._id
188900010001,esposa,188900020001
188900010001,fill,188900030001
188900010001,fill,188900040001
188900010001,fill,188900050001
188900010001,fill,188900060001
188900010001,fill,188900070001
188900080002,esposa,188900090002
188900080002,fill,188900100002
188900080002,fill,188900110002
188900080002,cunyada,188900120002
188900080002,neboda,188900130002
188900080002,nebot,188900140002
188900150003,esposa,188900160003
188900170004,esposa,188900180004
188900170004,parents,188900190004
188900170004,parents,188900200004
188900170004,parents,188900210004
188900170004,parents,188900220004
188900170004,parents,188900230004
188900240005,esposa,188900250005
188900240005,fill,188900260005
188900240005,fill,188900270005
188900240005,fill,188900280005
188900240005,sogre,188900290005
188900240005,altres,188900300005
188900310006,esposa,188900320006
188900310006,no consta,188900330006
188900340007,esposa,188900350007
188900340007,fill,188900360007
188900340007,fill,188900370007
188900340007,parents,188900380007
188900340007,parents,188900390007
188900340007,sogre,188900400007
188900340007,cunyada,188900410007
188900420008,esposa,188900430008
188900420008,fill,188900440008
188900420008,fill,188900450008
188900420008,fill,188900460008
188900420008,sogre,188900470008
188900490010,FAMILY,188900500010
188900490010,FAMILY,188900510010
188900520011,parents,188900530011
188900520011,parents,188900540011
188900520011,parents,188900550011
188900520011,parents,188900560011
188900570012,filla,188900580012
188900590013,fill,188900600013
188900590013,jove,188900610013
188900590013,fill,188900620013
188900630014,fill,188900640014
188900630014,filla,188900650014
188900630014,filla,188900660014
188900630014,parents,188900670014
188900680015,esposa,188900690015
188900680015,fill,188900700015
188900710016,esposa,188900720016
188900710016,fill,188900730016
188900710016,fill,188900740016
188900750017,esposa,188900760017
188900750017,fill,188900770017
188900750017,fill,188900780017
188900790018,esposa,188900800018
188900790018,fill,188900810018
188900790018,fill,188900820018
188900790018,fill,188900830018
188900790018,fill,188900840018
188900790018,fill,188900850018
188900860019,esposa,188900870019
188900860019,fill,188900880019
188900860019,fill,188900890019
188900860019,parents,188900900019
188900910020,esposa,188900920020
188900910020,fill,188900930020
188900910020,fill,188900940020
188900950021,parents,188900960021
188900950021,parents,188900970021
188900980022,esposa,188900990022
188900980022,fill,188901000022
188900980022,jove,188901010022
188900980022,net,188901020022
188900980022,neta,188901030022
188901040023,esposa,188901050023
188901060024,esposa,188901070024
188901060024,fill,188901080024
188901060024,fill,188901090024
188901060024,fill,188901100024
188901060024,altres,188901110024
188901060024,altres,188901120024
188901060024,altres,188901130024
188901060024,altres,188901140024
188901060024,altres,188901150024
188901160025,esposa,188901170025
188901160025,fill,188901180025
188901160025,gendre,188901190025
188901160025,net,188901200025
188901160025,neta,188901210025
188901160025,net,188901220025
188901160025,net,188901230025
188901160025,net,188901240025
188901160025,net,188901250025
188901260026,esposa,188901270026
188901260026,servents,188901280026
188901290027,esposa,188901300027
188901310028,fill,188901320028
188901330029,esposa,188901340029
188901330029,fill,188901350029
188901330029,fill,188901360029
188901330029,fill,188901370029
188901330029,fill,188901380029
